sample.id,year,latitude,longitude,n.obs,ndvi.gs.avg,ndvi.gs.med,ndvi.gs.q90,ndvi.max,ndvi.max.lwr,ndvi.max.upr,ndvi.max.doy,site
pixel_2 _ST_lyr,2006,78.2432401,15.5293267,9,0.216440563362737,0.205326887629359,0.252575721248162,0.252575721248162,0.197586353741085,0.264547168617556,232,ST_lyr
pixel_2 _ST_lyr,2010,78.2432401,15.5293267,7,0.207348086017668,0.207348086017668,0.207348086017668,0.216068388663003,0.209874963756624,0.217552831400737,187,ST_lyr
pixel_2 _ST_lyr,2013,78.2432401,15.5293267,39,0.242801426714,0.250332618624857,0.273851165309606,0.273851165309606,0.209702201079146,0.291630227749177,167,ST_lyr
pixel_2 _ST_lyr,2014,78.2432401,15.5293267,172,0.194133845011155,0.208282929337872,0.215334531413149,0.215334531413149,0.176215702595442,0.254329046836904,170,ST_lyr
pixel_2 _ST_lyr,2015,78.2432401,15.5293267,90,0.187585462662831,0.182551679893465,0.211419926970019,0.211419926970019,0.17846992197907,0.241647807833177,164,ST_lyr
pixel_2 _ST_lyr,2016,78.2432401,15.5293267,129,0.20094911854914,0.20609835189678,0.217382819302641,0.218678830281043,0.174208175055779,0.273666244527728,157,ST_lyr
pixel_2 _ST_lyr,2017,78.2432401,15.5293267,53,0.190134581630397,0.16862913362058,0.285575249216697,0.285575249216697,0.182572608725209,0.295373730853666,155,ST_lyr
pixel_2 _ST_lyr,2018,78.2432401,15.5293267,89,0.209302961085241,0.221333957358046,0.260795719235603,0.260795719235603,0.182787628819192,0.293892861472571,140,ST_lyr
pixel_2 _ST_lyr,2019,78.2432401,15.5293267,122,0.200550325957435,0.202569966088815,0.259193288629579,0.259193288629579,0.17256352992956,0.287344847570156,140,ST_lyr
pixel_2 _ST_lyr,2020,78.2432401,15.5293267,74,0.212236193129678,0.212918902532073,0.247948605831254,0.247948605831254,0.190910936933089,0.275526370006302,142,ST_lyr
pixel_2 _ST_lyr,2021,78.2432401,15.5293267,85,0.20929455152302,0.213570550116895,0.232788772930097,0.232788772930097,0.180658396792042,0.279310235138065,145,ST_lyr
pixel_20 _DY_12,2004,78.1597239,15.9985003,2,0.430100178572903,0.430100178572903,0.493896491514694,0.507205898542433,0.448422215168018,0.565989581916849,260,DY_12
pixel_20 _DY_12,2005,78.1597239,15.9985003,2,0.514864291344152,0.514864291344152,0.514864291344152,0.533110466967352,0.529883412723522,0.536337521211182,260,DY_12
pixel_20 _DY_12,2006,78.1597239,15.9985003,6,0.440189579673998,0.440189579673998,0.461204540737707,0.482380471674734,0.446260834070411,0.485399289920389,260,DY_12
pixel_20 _DY_12,2010,78.1597239,15.9985003,14,0.443553327511079,0.443553327511079,0.497459251314332,0.497459251314332,0.461302200497677,0.531776005744145,253,DY_12
pixel_20 _DY_12,2011,78.1597239,15.9985003,47,0.404813971958439,0.440838361384566,0.447103077164203,0.448955196627555,0.378294857803696,0.53135099787289,235,DY_12
pixel_20 _DY_12,2013,78.1597239,15.9985003,52,0.477027317703805,0.476526108479492,0.496886954569398,0.517494696870584,0.466906374503148,0.562193328938018,232,DY_12
pixel_20 _DY_12,2014,78.1597239,15.9985003,182,0.453703938726511,0.450724221738082,0.515696075164957,0.515696075164957,0.394294810374566,0.621313060153052,232,DY_12
pixel_20 _DY_12,2015,78.1597239,15.9985003,55,0.439680142991998,0.475374564054285,0.485271456306403,0.510877613547987,0.410389886090272,0.540882625962227,227,DY_12
pixel_20 _DY_12,2016,78.1597239,15.9985003,110,0.452324896969155,0.453306832947242,0.483033001529764,0.485960439151581,0.449872994857442,0.532985865814363,227,DY_12
pixel_20 _DY_12,2017,78.1597239,15.9985003,60,0.437244457957918,0.427578892713053,0.480372800265386,0.480372800265386,0.431375549628488,0.560418423667572,224,DY_12
pixel_20 _DY_12,2018,78.1597239,15.9985003,107,0.477365825708587,0.468988254533655,0.573555460553594,0.573555460553594,0.375062789208082,0.625128795302192,220,DY_12
pixel_20 _DY_12,2019,78.1597239,15.9985003,84,0.461667877748891,0.454665189664134,0.514641136795585,0.514641136795585,0.430473433156148,0.550800364816578,215,DY_12
pixel_20 _DY_12,2020,78.1597239,15.9985003,67,0.453076219284952,0.481782331406518,0.516838537810388,0.516838537810388,0.374246814430111,0.581245521076817,209,DY_12
pixel_20 _DY_12,2021,78.1597239,15.9985003,68,0.463891596194405,0.480789915102084,0.490782078638923,0.503149993383341,0.395121077156992,0.543150639731494,209,DY_12
pixel_20 _DY_3,2004,78.1780383,15.9081918,2,0.368218577531173,0.368218577531173,0.417187832515045,0.447854357907305,0.403402426500857,0.492306289313753,214,DY_3
pixel_20 _DY_3,2005,78.1780383,15.9081918,2,0.552997052774421,0.552997052774421,0.552997052774421,0.560025299621563,0.554653139787088,0.565397459456037,210,DY_3
pixel_20 _DY_3,2006,78.1780383,15.9081918,12,0.476642574424061,0.48091342380688,0.507361005010511,0.507361005010511,0.4431431054114,0.541659607553314,208,DY_3
pixel_20 _DY_3,2011,78.1780383,15.9081918,13,0.381426784380428,0.381426784380428,0.381426784380428,0.390129321754972,0.381675401167841,0.403649225127572,214,DY_3
pixel_20 _DY_3,2013,78.1780383,15.9081918,38,0.483411120426006,0.483376745687676,0.516138673042439,0.516138673042439,0.493354637245281,0.563971158413252,213,DY_3
pixel_20 _DY_3,2014,78.1780383,15.9081918,169,0.45951624476751,0.45310921679651,0.523158899175741,0.523158899175741,0.404852470680649,0.612550672431802,214,DY_3
pixel_20 _DY_3,2015,78.1780383,15.9081918,62,0.420622890313684,0.424929689934049,0.475945918839036,0.475945918839036,0.356936504314538,0.578019183261813,213,DY_3
pixel_20 _DY_3,2016,78.1780383,15.9081918,96,0.479972714654959,0.472065315692169,0.590163329675029,0.590163329675029,0.483653864941952,0.637767181563279,214,DY_3
pixel_20 _DY_3,2017,78.1780383,15.9081918,50,0.479157385052016,0.480624656871763,0.523946872306704,0.523946872306704,0.478218473509789,0.547706611810803,215,DY_3
pixel_20 _DY_3,2018,78.1780383,15.9081918,78,0.431519955965504,0.430551013807321,0.526907126074186,0.526907126074186,0.42841134090094,0.55017145026874,216,DY_3
pixel_20 _DY_3,2019,78.1780383,15.9081918,77,0.46425328929415,0.480345381137281,0.537957535255025,0.537957535255025,0.365062858792547,0.572324461658698,218,DY_3
pixel_20 _DY_3,2020,78.1780383,15.9081918,36,0.48369023762452,0.468436318844151,0.611163333736235,0.611163333736235,0.407081038819005,0.615248353809259,220,DY_3
pixel_20 _DY_3,2021,78.1780383,15.9081918,53,0.478077065514572,0.501512746456695,0.581354788365096,0.581354788365096,0.391190034747854,0.605549475386014,223,DY_3
pixel_20 _DY_5,2006,78.1743681,15.9616852,6,0.470473623387327,0.470473623387327,0.50983841278293,0.50983841278293,0.456988466452707,0.512512564545541,210,DY_5
pixel_20 _DY_5,2009,78.1743681,15.9616852,5,0.377852942673077,0.377852942673077,0.377852942673077,0.436533664066915,0.422986659415772,0.489334706047613,205,DY_5
pixel_20 _DY_5,2010,78.1743681,15.9616852,28,0.446536756935247,0.433367205706336,0.512367879807745,0.512367879807745,0.407080518432101,0.529321083421541,205,DY_5
